Channel,trl,rip_start,rip_end,rip_peak,rip_dur,entropy,surprise,meanEnt,rt,trl_num,subI
2,258,106,122,114,0.036,1.913371879,2.392317423,1.681171906,550,418,1
2,258,475,487,482,0.028,1.913371879,2.392317423,1.681171906,550,418,1
2,258,617,631,624,0.032,1.913371879,2.392317423,1.681171906,550,418,1
2,259,240,251,247,0.026,1.929090851,2.137503524,1.685181791,397,419,1
2,259,439,450,446,0.026,1.929090851,2.137503524,1.685181791,397,419,1
2,261,178,191,186,0.03,1.91326969,1.64385619,1.685848318,632,422,1
2,263,561,572,567,0.026,1.87830962,1.485426827,1.668057677,604,425,1
2,266,456,467,459,0.026,1.858865763,3.36923381,1.6391352,925,428,1
2,266,569,583,577,0.032,1.858865763,3.36923381,1.6391352,925,428,1
2,267,434,452,437,0.04,1.867351713,1.280107919,1.625571662,411,431,1
2,268,402,414,409,0.028,1.816307404,1.109624491,1.588644619,486,438,1
2,269,605,616,606,0.026,1.921928095,2.321928095,1.921928095,712,442,1
2,273,35,60,47,0.054,1.752715279,3.169925001,1.811885275,790,446,1
2,273,434,448,441,0.032,1.752715279,3.169925001,1.811885275,790,446,1
2,275,727,739,738,0.028,1.789929075,1.874469118,1.790855108,497,448,1
2,277,665,677,676,0.028,1.738149333,1.700439718,1.758195534,597,450,1
2,277,968,984,981,0.036,1.738149333,1.700439718,1.758195534,597,450,1
2,279,775,788,787,0.03,1.792195194,1.502500341,1.722586231,720,454,1
2,282,108,124,122,0.036,1.719973094,1.736965594,1.694418043,585,457,1
2,283,591,609,601,0.04,1.717040781,4.392317423,1.681171906,878,458,1
2,294,359,371,367,0.028,1.767511332,1.222392421,1.615496731,614,472,1
2,294,717,729,725,0.028,1.767511332,1.222392421,1.615496731,614,472,1
2,295,76,90,83,0.032,1.751629167,1.169925001,1.616850311,432,473,1
2,296,398,416,405,0.04,1.701574712,2.115477217,1.595856128,579,476,1
2,299,265,279,271,0.032,1.704766856,1.070389328,1.576868843,458,479,1
2,299,757,768,764,0.026,1.704766856,1.070389328,1.576868843,458,479,1
2,300,743,754,752,0.026,1.689585039,2.10433666,1.581066496,556,480,1
1,2,350,363,353,0.03,1.570950594,2.321928095,1.709934841,958,7,2
1,2,799,811,809,0.028,1.570950594,2.321928095,1.709934841,958,7,2
1,3,934,949,942,0.034,1.617189573,0.874469118,1.68095937,531,8,2
1,7,603,624,613,0.046,1.375279366,0.584962501,1.620574668,385,12,2
1,14,717,729,725,0.028,1.208703008,3.523561956,1.591948448,363,20,2
1,15,968,979,973,0.026,1.353404109,0.559427409,1.586766291,839,25,2
1,18,260,271,264,0.026,1.416846541,0.632268215,1.58232945,816,28,2
1,19,609,626,621,0.038,1.391939162,0.607682577,1.580075329,904,29,2
1,19,937,948,947,0.026,1.391939162,0.607682577,1.580075329,904,29,2
1,20,27,43,36,0.036,1.367825133,2.722466024,1.578978421,828,30,2
1,25,210,223,220,0.03,1.37645502,0.604071324,1.585918869,616,35,2
1,27,175,190,183,0.034,1.336890281,2.736965594,1.576619189,903,37,2
1,27,293,316,304,0.05,1.336890281,2.736965594,1.576619189,903,37,2
1,29,155,168,165,0.03,1.350241297,2.584962501,1.579237841,709,39,2
1,30,966,980,977,0.032,1.377062131,0.618909833,1.579229121,458,40,2
1,32,672,683,676,0.026,1.664497779,0.807354922,1.821712213,420,44,2
1,38,516,531,519,0.034,1.236640742,0.447458977,1.620574668,488,52,2
1,39,378,390,380,0.028,1.186278124,0.415037499,1.599108184,493,53,2
1,40,128,141,132,0.03,1.140067763,0.387023123,1.596652175,435,54,2
1,41,243,256,250,0.03,1.09753784,0.362570079,1.584925577,382,55,2
1,42,752,779,772,0.058,1.191760148,3.321928095,1.586310072,464,57,2
1,48,416,430,417,0.032,1.211569612,0.452512205,1.583514548,610,63,2
1,52,481,499,491,0.04,1.210908408,0.430634354,1.58232945,808,68,2
1,53,638,651,647,0.03,1.186278124,0.415037499,1.580075329,751,69,2
1,54,301,324,308,0.05,1.162684885,0.40053793,1.578978421,736,70,2
1,54,438,450,443,0.028,1.162684885,0.40053793,1.578978421,736,70,2
1,54,517,530,522,0.03,1.162684885,0.40053793,1.578978421,736,70,2
1,57,870,886,878,0.036,1.193901389,4.169925001,1.597139744,874,73,2
1,59,282,294,285,0.028,1.244882439,0.440572591,1.585918869,833,75,2
1,59,599,619,613,0.044,1.244882439,0.440572591,1.585918869,833,75,2
1,61,144,156,154,0.028,1.204015773,3.736965594,1.576619189,558,77,2
1,61,765,781,773,0.036,1.204015773,3.736965594,1.576619189,558,77,2
1,63,193,204,195,0.026,1.241484729,0.438121112,1.579237841,600,79,2
1,64,778,789,782,0.026,1.918295834,1.584962501,1.855388542,874,83,2
1,66,871,882,873,0.026,1.811278124,1.415037499,1.771735385,721,85,2
1,69,26,37,35,0.026,1.617189573,3.459431619,1.68095937,821,88,2
1,69,854,869,863,0.034,1.617189573,3.459431619,1.68095937,821,88,2
1,72,511,522,521,0.026,1.724407818,1,1.630318784,518,91,2
1,73,86,105,93,0.042,1.672905595,2.321928095,1.620574668,663,92,2
1,74,900,911,907,0.026,1.702819531,4,1.599108184,653,93,2
